session_id,session_len,warmup_optimal_games,fg_result_score,fg_pl,fg_rating_diff,fg_my_rating,fg_opp_rating,fg_time_of_day,fg_day_of_week,fg_phase,fg_rated_int,fg_num_blunders,fg_num_mistakes,fg_avg_move_time,hist_n_games,hist_mean_pl,hist_std_pl,hist_mean_result,hist_std_result,hist_mean_rating_diff,hist_mean_my_rating,hist_mean_opp_rating,hist_mean_blunders_lastN,hist_mean_mistakes_lastN,hist_mean_move_time_lastN,warmup_pred
21,1,0,0.0,-1.0,-22.0,1858.0,1836.0,13.333333333333334,1.0,0.0,1,,,,30,-0.26666666666666666,0.9285592184789412,0.36666666666666664,0.46427960923947054,-6.3,1898.1,1891.8,,,,-0.0008130529
23,3,0,1.0,1.0,2.0,1847.0,1849.0,8.5,4.0,0.0,1,,,,30,-0.4,0.9165151389911679,0.3,0.45825756949558394,-6.5,1890.5333333333333,1884.0333333333333,,,,-0.0016702801
24,1,0,0.0,-1.0,-14.0,1853.0,1839.0,11.733333333333333,3.0,0.0,1,,,,30,-0.4,0.916515138991168,0.3,0.458257569495584,-4.933333333333334,1884.2333333333333,1879.3,,,,0.0013987075
25,1,0,0.0,-1.0,-71.0,1843.0,1772.0,12.416666666666666,3.0,0.0,1,,,,30,-0.4666666666666667,0.8844332774281066,0.26666666666666666,0.4422166387140533,-6.533333333333333,1881.9,1875.3666666666666,,,,0.0017704573
27,5,0,1.0,1.0,19.0,1821.0,1840.0,5.65,4.0,0.0,1,,,,30,-0.5333333333333333,0.8459051693633012,0.23333333333333334,0.4229525846816506,-9.266666666666667,1876.0,1866.7333333333333,,,,-4.5825378e-05
29,5,0,1.0,1.0,61.0,1819.0,1880.0,7.35,4.0,0.0,1,,,,30,-0.36666666666666664,0.9122621455602672,0.31666666666666665,0.4561310727801336,-3.433333333333333,1855.1666666666667,1851.7333333333333,,,,0.0012142172
32,10,2,0.0,-1.0,68.0,1538.0,1606.0,10.9,6.0,0.0,1,,,,30,-0.16666666666666666,0.9689627902499087,0.4166666666666667,0.48448139512495436,-0.4666666666666667,1826.2333333333333,1825.7666666666667,,,,1.9985793
34,34,0,1.0,1.0,-1.0,1799.0,1798.0,13.9,4.0,0.0,1,,,,30,-0.2,0.9451631252505218,0.4,0.4725815626252609,-11.233333333333333,1776.1666666666667,1764.9333333333334,,,,-0.000817716
35,2,0,0.5,0.0,129.0,1881.0,2010.0,16.183333333333334,4.0,0.0,1,,,,30,0.23333333333333334,0.9551032521262935,0.6166666666666667,0.4775516260631468,6.333333333333333,1850.6666666666667,1857.0,,,,0.0022462336
37,22,4,1.0,1.0,13.0,1871.0,1884.0,5.183333333333334,5.0,0.0,1,,,,30,0.2,0.9451631252505217,0.6,0.47258156262526085,9.333333333333334,1860.9,1870.2333333333333,,,,3.9986498
38,5,0,1.0,1.0,-10.0,1896.0,1886.0,7.833333333333333,5.0,0.0,1,,,,30,0.06666666666666667,0.9637888196533974,0.5333333333333333,0.4818944098266987,5.133333333333334,1882.4333333333334,1887.5666666666666,,,,0.0037022245
39,2,0,1.0,1.0,5.0,1879.0,1884.0,11.533333333333333,5.0,0.0,1,,,,30,0.0,1.0,0.5,0.5,2.6666666666666665,1884.0666666666666,1886.7333333333333,,,,-0.0009820624
41,1,0,0.0,-1.0,28.0,1882.0,1910.0,16.066666666666666,5.0,0.0,1,,,,30,0.0,1.0,0.5,0.5,4.533333333333333,1888.3666666666666,1892.9,,,,-0.00069961615
43,4,0,1.0,1.0,-1.0,1866.0,1865.0,6.716666666666667,6.0,0.0,1,,,,30,-0.13333333333333333,0.9910712498212336,0.43333333333333335,0.4955356249106168,4.1,1888.3666666666666,1892.4666666666667,,,,-0.00021869232
46,13,0,1.0,1.0,-54.0,1880.0,1826.0,19.566666666666666,6.0,0.0,1,,,,30,-0.06666666666666667,0.9977753031397177,0.4666666666666667,0.49888765156985887,11.066666666666666,1883.1333333333334,1894.2,,,,0.0010116815
48,7,4,1.0,1.0,-1.0,1895.0,1894.0,18.916666666666668,1.0,0.0,1,,,,30,0.1,0.9780933834080806,0.55,0.4890466917040403,-4.066666666666666,1890.8666666666666,1886.8,,,,3.9939167
49,5,1,0.0,-1.0,59.0,1907.0,1966.0,7.75,3.0,0.0,1,,,,30,0.06666666666666667,0.9637888196533974,0.5333333333333333,0.4818944098266987,-6.7,1895.2333333333333,1888.5333333333333,,,,0.9969034
50,21,0,0.5,0.0,35.0,1891.0,1926.0,14.65,3.0,0.0,1,,,,30,0.06666666666666667,0.9637888196533974,0.5333333333333333,0.4818944098266987,-5.333333333333333,1897.7,1892.3666666666666,,,,0.00025618178
